shipment_mode,total_cost
Air,31456.55
Ocean,8993.25
Air,8622
Air,101134.53
Air,189139.68
Air,20089.008
Air,10591
Ocean,5635.5
Air,10523.34
Air,101370.15
Air,95304.15
Ocean,33424
Ocean,15487.4328
Ocean,37045.35
Ocean,20436.75
Air,20877.4
Air,8684
Ocean,15558.3
Ocean,25936.4
Air,8679
Air,94560.45
Ocean,17530
Air,8642
Air,15624
Air,35970.8
Air,100568.96
Ocean,30778.5
Air,5685
Air,10481.4475
Air,20022.685
Air,30611
Ocean,26376
Air,4417.035
Air,130646.88
Ocean,44263.25
Ocean,6502.5
Ocean,71121
Ocean,152480.4
Air,90258.32
Air,8032.52
Ocean,9560.375
Air,5667.522259
Air,25497.395
Ocean,26940
Air,43975
Air,2546.78
Ocean,10519.2
Air,5652.4
Ocean,30867.25
Air,19013.75
Air,28266
Air,55764
Ocean,34082.45
Air,5999.981525
Air,28347
Air,9796.275
Air,93437.28
Ocean,10520.95
Air,14519.565
Ocean,17886.25
Air,857.5
Ocean,104861.7
Air,20183.416
Air,5034.35
Ocean,11640.3584
Ocean,28517.5
Air,8979.1
Air,9010.05
Air,10598.56
Air,5071.265
Ocean,91485.9418
Ocean,20812.5
Ocean,25814.25
Air,130767.2
Ocean,75559.55
Air,29767.5
Ocean,109674.0018
Ocean,51337.5
Air,43280
Air,9352
Ocean,30465.0005
Air,51337.5
Air,33458.75
Ocean,44137
Ocean,67821
Ocean,100000.929
Air,9749.7
Ocean,23859.3555
Ocean,91505.76
Ocean,22487.5
Ocean,20604.43303
Air,10449.3
Ocean,67821
Air,10920.4
Air,93800
Ocean,67821
Air,9424
Air,21706.83
Air,46394.35
Ocean,6150.6
Ocean,9255
Ocean,9359
Ocean,19899
Air,25604.1
Air,76367.72
Air,12329.838
Air,75668.965
Air,10468.8
Air,36116
Air,35188
Ocean,26153.75
Ocean,19342.95
Ocean,23103
Air,25590.88
Ocean,22531.6
Ocean,3516.9
Air,9346
Ocean,94714.9
Air,50686.15
Air,122769
Air,30590
Air,29955.51962
Air,91103.36
Ocean,129064.2
Air,30969.45864
Air,15611.455
Ocean,20009.705
Ocean,43253.25
Air,31012.8
Air,100601.85
Air,2326.25
Air,73853.78
Air,50072.1
Air,101277.16
Ocean,5090.25
Ocean,20004.27
Air,18242
Air,24215.7
Air,43409.8
Air,13129.5
Air,5111.15
Ocean,10000.2698
Air,94860
Ocean,10477.23196
Air,2085.464141
Air,46798.35
Ocean,49661
Air,43202.25
Air,17439.35
Air,78543
Air,147904
Air,9356
Ocean,10069.96
Air,37077.75
Air,13269.77618
Air,6491.28
Air,63895.65
Air,17410
Air,70824.36
Air,20841.525
Air,176081.52
Air,10567.8
Ocean,36074.5
Ocean,17292.14
Ocean,40778.75
Ocean,34809.75
Air,26779
Air,10596.3
Air,102630
Air,1010.7878
Air,64001.35
Ocean,5026.28
